X,Y,Z
61.1535,76.3158,43.2249
51.2263,76.3158,54.6747
39.1942,76.3158,63.8986
25.5454,76.3158,70.5155
10.8278,76.3158,74.2143
-4.33302,76.3158,74.8747
-19.3082,76.3158,72.4468
-33.476,76.3158,67.0431
-46.2621,76.3158,58.9048
-57.1459,76.3158,48.3661
-65.6847,61.0526,35.8589
-71.532,61.0526,21.895
-74.4506,61.0526,7.04517
-74.3233,61.0526,-8.08397
-71.1566,61.0526,-22.8747
-65.0812,61.0526,-36.7236
-56.3461,61.0526,-49.0654
-45.3088,61.0526,-59.3968
-32.4204,61.0526,-67.2964
-18.2074,61.0526,-72.442
-3.25024,61.0526,-74.6238
11.8402,61.0526,-73.7526
26.4478,61.0526,-69.864
39.976,61.0526,-63.1163
51.872,61.0526,-53.7844
61.6496,61.0526,-42.2489
68.9088,61.0526,-28.98
73.3522,61.0526,-14.5189
74.7969,61.0526,0.544297
73.1823,61.0526,15.5949
68.5724,61.0526,30.0182
61.1535,61.0526,43.2249
51.2263,61.0526,54.6747
39.1942,61.0526,63.8986
25.5454,61.0526,70.5155
10.8278,61.0526,74.2143
-4.33302,61.0526,74.8747
-19.3082,61.0526,72.4468
-33.476,61.0526,67.0431
-46.2621,61.0526,58.9048
-57.1459,61.0526,48.3661
-65.6847,45.7895,35.8589
-71.532,45.7895,21.895
-74.4506,45.7895,7.04517
-74.3233,45.7895,-8.08397
-71.1566,45.7895,-22.8747
-65.0812,45.7895,-36.7236
-56.3461,45.7895,-49.0654
-45.3088,45.7895,-59.3968
-32.4204,45.7895,-67.2964
-18.2074,45.7895,-72.442
-3.25024,45.7895,-74.6238
11.8402,45.7895,-73.7526
26.4478,45.7895,-69.864
39.976,45.7895,-63.1163
51.872,45.7895,-53.7844
61.6496,45.7895,-42.2489
68.9088,45.7895,-28.98
73.3522,45.7895,-14.5189
74.7969,45.7895,0.544297
73.1823,45.7895,15.5949
68.5724,45.7895,30.0182
61.1535,45.7895,43.2249
51.2263,45.7895,54.6747
39.1942,45.7895,63.8986
25.5454,45.7895,70.5155
10.8278,45.7895,74.2143
-4.33302,45.7895,74.8747
-19.3082,45.7895,72.4468
-33.476,45.7895,67.0431
-46.2621,45.7895,58.9048
-57.1459,45.7895,48.3661
-65.6847,30.5263,35.8589
-71.532,30.5263,21.895
-74.4506,30.5263,7.04517
-74.3233,30.5263,-8.08397
-71.1566,30.5263,-22.8747
-65.0812,30.5263,-36.7236
-56.3461,30.5263,-49.0654
-45.3088,30.5263,-59.3968
-32.4204,30.5263,-67.2964
-18.2074,30.5263,-72.442
-3.25024,30.5263,-74.6238
11.8402,30.5263,-73.7526
26.4478,30.5263,-69.864
39.976,30.5263,-63.1163
51.872,30.5263,-53.7844
61.6496,30.5263,-42.2489
68.9088,30.5263,-28.98
73.3522,30.5263,-14.5189
74.7969,30.5263,0.544297
73.1823,30.5263,15.5949
68.5724,30.5263,30.0182
61.1535,30.5263,43.2249
51.2263,30.5263,54.6747
39.1942,30.5263,63.8986
25.5454,30.5263,70.5155
10.8278,30.5263,74.2143
-4.33302,30.5263,74.8747
-19.3082,30.5263,72.4468
-33.476,30.5263,67.0431
-46.2621,30.5263,58.9048
-57.1459,30.5263,48.3661
-65.6847,15.2632,35.8589
-71.532,15.2632,21.895
-74.4506,15.2632,7.04517
-74.3233,15.2632,-8.08397
-71.1566,15.2632,-22.8747
-65.0812,15.2632,-36.7236
-56.3461,15.2632,-49.0654
-45.3088,15.2632,-59.3968
-32.4204,15.2632,-67.2964
-18.2074,15.2632,-72.442
-3.25024,15.2632,-74.6238
11.8402,15.2632,-73.7526
26.4478,15.2632,-69.864
39.976,15.2632,-63.1163
51.872,15.2632,-53.7844
61.6496,15.2632,-42.2489
68.9088,15.2632,-28.98
73.3522,15.2632,-14.5189
74.7969,15.2632,0.544297
73.1823,15.2632,15.5949
68.5724,15.2632,30.0182
61.1535,15.2632,43.2249
51.2263,15.2632,54.6747
39.1942,15.2632,63.8986
25.5454,15.2632,70.5155
10.8278,15.2632,74.2143
-4.33302,15.2632,74.8747
-19.3082,15.2632,72.4468
-33.476,15.2632,67.0431
-46.2621,15.2632,58.9048
-57.1459,15.2632,48.3661
-65.6847,-2.19572e-15,35.8589
-71.532,-1.34068e-15,21.895
-74.4506,-4.31392e-16,7.04517
-74.3233,4.95e-16,-8.08397
-71.1566,1.40067e-15,-22.8747
-65.0812,2.24867e-15,-36.7236
-56.3461,3.00439e-15,-49.0654
-45.3088,3.637e-15,-59.3968
-32.4204,4.12071e-15,-67.2964
-18.2074,4.43579e-15,-72.442
-3.25024,4.56939e-15,-74.6238
11.8402,4.51605e-15,-73.7526
26.4478,4.27794e-15,-69.864
39.976,3.86476e-15,-63.1163
51.872,3.29335e-15,-53.7844
61.6496,2.587e-15,-42.2489
68.9088,1.77451e-15,-28.98
73.3522,8.89029e-16,-14.5189
74.7969,-3.33286e-17,0.544297
73.1823,-9.54912e-16,15.5949
68.5724,-1.83809e-15,30.0182
61.1535,-2.64676e-15,43.2249
51.2263,-3.34786e-15,54.6747
39.1942,-3.91266e-15,63.8986
25.5454,-4.31783e-15,70.5155
